p,q,tau,R0,critical_delay,status
0.055,0.36,2.5,1.125,,always_dieout
0.055,0.36,2.5,1.25,0.8888888888888888,crossed
0.055,0.36,2.5,1.3125,0.0,always_outbreak
0.055,0.36,2.5,1.375,0.0,always_outbreak
0.055,0.36,2.5,1.4375,0.0,always_outbreak
0.055,0.36,2.5,1.5,0.0,always_outbreak
0.055,0.36,2.5,1.75,0.0,always_outbreak
0.055,0.36,3.0,1.125,,always_dieout
0.055,0.36,3.0,1.25,0.0,always_outbreak
0.055,0.36,3.0,1.3125,0.0,always_outbreak
0.055,0.36,3.0,1.375,0.0,always_outbreak
0.055,0.36,3.0,1.4375,0.0,always_outbreak
0.055,0.36,3.0,1.5,0.0,always_outbreak
0.055,0.36,3.0,1.75,0.0,always_outbreak
0.055,0.36,3.5,1.125,,always_dieout
0.055,0.36,3.5,1.25,0.0,always_outbreak
0.055,0.36,3.5,1.3125,0.0,always_outbreak
0.055,0.36,3.5,1.375,0.0,always_outbreak
0.055,0.36,3.5,1.4375,0.0,always_outbreak
0.055,0.36,3.5,1.5,0.0,always_outbreak
0.055,0.36,3.5,1.75,0.0,always_outbreak
0.055,0.36,4.0,1.125,0.625,crossed
0.055,0.36,4.0,1.25,0.0,always_outbreak
0.055,0.36,4.0,1.3125,0.0,always_outbreak
0.055,0.36,4.0,1.375,0.0,always_outbreak
0.055,0.36,4.0,1.4375,0.0,always_outbreak
0.055,0.36,4.0,1.5,0.0,always_outbreak
0.055,0.36,4.0,1.75,0.0,always_outbreak
0.055,0.36,4.5,1.125,0.0,always_outbreak
0.055,0.36,4.5,1.25,0.0,always_outbreak
0.055,0.36,4.5,1.3125,0.0,always_outbreak
0.055,0.36,4.5,1.375,0.0,always_outbreak
0.055,0.36,4.5,1.4375,0.0,always_outbreak
0.055,0.36,4.5,1.5,0.0,always_outbreak
0.055,0.36,4.5,1.75,0.0,always_outbreak
0.055,0.36,5.0,1.125,0.0,always_outbreak
0.055,0.36,5.0,1.25,0.0,always_outbreak
0.055,0.36,5.0,1.3125,0.0,always_outbreak
0.055,0.36,5.0,1.375,0.0,always_outbreak
0.055,0.36,5.0,1.4375,0.0,always_outbreak
0.055,0.36,5.0,1.5,0.0,always_outbreak
0.055,0.36,5.0,1.75,0.0,always_outbreak
0.055,0.36,5.5,1.125,0.0,always_outbreak
0.055,0.36,5.5,1.25,0.0,always_outbreak
0.055,0.36,5.5,1.3125,0.0,always_outbreak
0.055,0.36,5.5,1.375,0.0,always_outbreak
